Location,Area,Price,New/Resale,House_Type,bhk,bath,Floor,Age,Gym,Lift,Car_Parking,Security,Play_area,Clubhouse,Indoor_Games,Gas,Jogging_Track,Swimming_Pool
Mira Road,700,4760000,1,Apartment,1,1,More than 5,,1,1,1,0,0,0,0,0,0,0
Goregaon,1296,18100000,1,Apartment,2,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,1638,23800000,1,Apartment,3,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,1465,21200000,1,Apartment,3,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Borivali ,700,8600000,1,Apartment,1,1,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,2030,36500000,1,Apartment,3,3,4,,1,1,1,1,1,1,1,0,1,1
Malad ,1450,23700000,1,Apartment,3,2,More than 5,,1,1,1,1,1,1,0,0,1,1
Malad,1100,21400000,1,Apartment,2,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Kandivali ,800,12500000,1,Apartment,2,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Kandivali ,1500,18000000,1,Apartment,3,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Kandivali ,1100,13200000,1,Apartment,2,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Kandivali ,1962,35300000,1,Apartment,3,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Borivali,950,15300000,0,Apartment,2,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Kandivali,1440,25000000,1,Independent House,3,2,0,,1,1,1,1,1,1,1,0,1,1
Kandivali,1200,13899999,1,Apartment,2,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Borivali,1785,33500000,1,Apartment,3,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,775,14500000,1,Apartment,2,1,More than 5,,1,1,1,1,1,1,1,0,1,1
Kandivali,765,9000000,1,Apartment,1,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,910,13500000,1,Apartment,2,1,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,640,9000000,1,Apartment,1,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Malad,1264,21600000,1,Apartment,2,2,4,,1,1,1,1,1,1,1,0,1,1
Kandivali,1056,13700000,0,Apartment,2,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Kandivali,1810,27799999,1,Apartment,3,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,1656,27900000,0,Apartment,3,4,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,3888,81600000,0,Apartment,4,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Borivali,2030,38600000,1,Apartment,3,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Andheri,1114,17000000,1,Apartment,3,4,More than 5,,1,1,1,0,0,1,0,0,1,1
Goregaon,3585,60100000,1,Apartment,4,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,1404,27900000,1,Apartment,2,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,1620,31500000,1,Apartment,3,4,More than 5,,1,1,1,1,1,1,1,0,1,1
Malad,2780,37500000,1,Apartment,4,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Malad,1672,31000000,0,Apartment,3,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Malad,1200,21100000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Malad,1200,16500000,1,Independent House,2,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Borivali,1250,16000000,0,Apartment,2,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Borivali,1840,26000000,0,Apartment,3,2,4,,1,1,1,1,1,1,1,0,1,1
Malad,1170,15200000,0,Apartment,2,1,More than 5,,1,1,1,1,1,1,0,0,1,1
Kharghar,310,2300000,0,Apartment,1,3,More than 5,,0,0,0,1,1,0,0,0,0,0
Wadala,1245,33000000,0,Apartment,3,3,More than 5,,1,1,1,1,1,1,0,1,1,1
Wadala,1153,29000000,0,Apartment,3,2,More than 5,,1,1,1,1,1,1,0,1,1,1
Ulwe,573,11200000,1,Apartment,2,2,More than 5,,1,1,1,1,1,1,0,0,1,1
Ulwe,1100,9000000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,0,0,1,1
Ulwe,1135,8500000,0,Apartment,2,2,More than 5,,1,1,1,1,1,1,1,0,1,1
Kharghar,1060,9000000,0,Apartment,2,1,More than 5,,1,1,1,1,1,1,1,0,1,1
Malad,560,11500000,0,Apartment,1,2,More than 5,,0,0,0,0,0,0,0,0,0,0
Dahisar,1150,12100000,1,Apartment,2,2,More than 5,,1,1,1,1,1,0,0,0,1,1
kandivali,1054,11000000,1,Apartment,2,3,More than 5,,1,1,1,1,1,1,0,0,1,1
Goregaon,1695,27000000,1,Apartment,3,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,1579,21600000,1,Apartment,3,3,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,2153,30200000,1,Apartment,3,4,More than 5,,1,1,1,1,1,1,1,0,1,1
Goregaon,1872,41200000,1,Apartment,4,3,More than 5,,1,1,1,1,1,1,0,0,1,1
Goregaon,1717,30500000,1,Apartment,3,4,More than 5,,1,1,1,1,1,1,0,0,1,1
Goregaon,1675,36700000,1,Apartment,4,3,More than 5,,1,1,1,1,1,1,0,0,1,1
Malad,1672,23800000,1,Independent House,3,3,0,,1,1,1,1,1,1,1,0,1,1
Malad,1457,20500000,1,Apartment,3,1,More than 5,,1,1,1,1,1,0,0,0,0,1
Bhandup,425,5500000,0,Apartment,1,1,More than 5,,0,0,0,0,0,0,0,0,0,0
kandivali,560,9000000,0,Apartment,1,2,More than 5,,0,0,0,0,0,0,0,0,0,0
Santacruz,1200,32500000,0,Apartment,2,1,More than 5,,0,0,0,0,0,0,0,0,0,0
Kanjurmarg,575,8500000,0,Apartment,1,1,More than 5,,1,1,1,1,1,1,0,1,1,1
Borivali,400,9000000,0,Apartment,1,1,More than 5,,0,0,0,0,0,0,0,0,0,0
Kandivali,300,2500000,1,Apartment,1,1,More than 5,,0,0,0,0,0,0,0,0,0,0
I C Colony,400,5500000,0,Apartment,1,1,More than 5,,0,1,1,1,1,0,0,0,0,0
Dahisar,650,8000000,0,Apartment,1,3,More than 5,,0,0,1,1,1,0,0,0,0,0
Malad,1600,27500000,1,Apartment,3,1,More than 5,,1,1,1,1,1,1,1,0,1,1
Marol,860,11500000,0,Apartment,1,2,More than 5,,1,1,1,1,1,0,0,0,0,1
Parel,1320,35900000,0,Apartment,2,2,More than 5,,0,1,1,1,1,0,0,0,0,1
Lower Parel,1200,42000000,0,Apartment,2,2,More than 5,,0,1,1,1,1,0,0,0,0,1
Parel,1320,33100000,0,Apartment,2,3,More than 5,,0,1,1,1,1,0,0,0,0,1
Worli,2826,106000000,0,Apartment,3,3,More than 5,,0,1,1,1,1,0,0,0,0,1
Lower Parel,2880,101400000,0,Apartment,3,3,More than 5,,0,1,1,0,0,0,0,0,0,1
Jogeshwari,997,32500000,0,Apartment,3,2,More than 5,,0,1,1,1,1,0,0,0,0,0
Jogeshwari,1038,18500000,1,Apartment,2,1,More than 5,,1,1,0,0,0,1,0,0,0,1
